순번,가맹점,조식,중식,석식,음식점 종류,네이버 지도 링크
57,미화동,X,O,O,기타,https://map.naver.com/p/search/%EB%AF%B8%ED%99%94%EB%8F%99
58,바른보쌈1990(강동점),X,O,O,한식,https://map.naver.com/p/search/%EB%B0%94%EB%A5%B8%EB%B3%B4%EC%8C%881990%28%EA%B0%95%EB%8F%99%EC%A0%90%29
59,밥쁘다,X,O,X,한식,https://map.naver.com/p/search/%EB%B0%A5%EB%BB%97%EB%8B%A4
60,백채김치찌개 강동역점,X,O,O,한식,https://map.naver.com/p/search/%EB%B0%B1%EC%B1%84%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C%20%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90
61,보돌미역(강동역점),X,O,O,기타,https://map.naver.com/p/search/%EB%B3%B4%EB%8F%8C%EB%AF%B8%EC%97%AD%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
62,보배반점(길동점),X,O,O,기타,https://map.naver.com/p/search/%EB%B3%B4%EB%B0%B0%EB%B0%98%EC%A0%90%28%EA%B8%B8%EB%8F%99%EC%A0%90%29
63,본가왕뼈감자탕(길동사거리),X,O,X,한식,https://map.naver.com/p/search/%EB%B3%B8%EA%B0%80%EC%99%95%EB%BC%88%EA%B0%90%EC%9E%90%ED%83%95%28%EA%B8%B8%EB%8F%99%EC%82%AC%EA%B1%B0%EB%A6%AC%29
64,본죽&비빔밥(강동성심병원점),X,O,O,한식,https://map.naver.com/p/search/%EB%B3%B8%EC%A3%BD%26%EB%B9%84%EB%B9%94%EB%B0%A5%28%EA%B0%95%EB%8F%99%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90%EC%A0%90%29
65,봉평막국수.보쌈,X,O,O,한식,https://map.naver.com/p/search/%EB%B4%89%ED%8F%89%EB%A7%89%EA%B5%AD%EC%88%98.%EB%B3%B4%EC%8C%88
66,삼삼뼈국(강동점),X,O,O,기타,https://map.naver.com/p/search/%EC%82%BC%EC%82%BC%EB%BC%88%EA%B5%AD%28%EA%B0%95%EB%8F%99%EC%A0%90%29
67,성내맛집,X,O,O,기타,https://map.naver.com/p/search/%EC%84%B1%EB%82%B4%EB%A7%9B%EC%A7%91
68,성화마라탕(강동점),X,O,O,중식/아시안,https://map.naver.com/p/search/%EC%84%B1%ED%99%94%EB%A7%88%EB%9D%BC%ED%83%95%28%EA%B0%95%EB%8F%99%EC%A0%90%29
69,소담촌(강동역점),X,O,O,기타,https://map.naver.com/p/search/%EC%86%8C%EB%8B%B4%EC%B4%8C%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
70,순복이네 손맛집,X,O,O,기타,https://map.naver.com/p/search/%EC%88%9C%EB%B3%B5%EC%9D%B4%EB%84%A4%20%EC%86%90%EB%A7%9B%EC%A7%91
71,양촌리,X,O,O,기타,https://map.naver.com/p/search/%EC%96%91%EC%B4%8C%EB%A6%AC
72,오형제반점(길동사거리점),X,O,O,기타,https://map.naver.com/p/search/%EC%98%A4%ED%98%95%EC%A0%9C%EB%B0%98%EC%A0%90%28%EA%B8%B8%EB%8F%99%EC%82%AC%EA%B1%B0%EB%A6%AC%EC%A0%90%29
73,온유나베,X,O,O,기타,https://map.naver.com/p/search/%EC%98%A8%EC%9C%A0%EB%82%98%EB%B2%A0
74,온정담,X,O,O,기타,https://map.naver.com/p/search/%EC%98%A8%EC%A0%95%EB%8B%B4
75,와바닭강정,X,O,X,기타,https://map.naver.com/p/search/%EC%99%80%EB%B0%94%EB%8B%AD%EA%B0%95%EC%A0%95
76,우리왕갈비탕,X,O,O,한식,https://map.naver.com/p/search/%EC%9A%B0%EB%A6%AC%EC%99%95%EA%B0%88%EB%B9%84%ED%83%95
77,우미관,X,O,O,기타,https://map.naver.com/p/search/%EC%9A%B0%EB%AF%B8%EA%B4%80
78,육대장 강동성심병원,X,O,O,기타,https://map.naver.com/p/search/%EC%9C%A1%EB%8C%80%EC%9E%A5%28%EA%B0%95%EB%8F%99%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90%EC%A0%90%29
79,이삭토스트(강동성심병원점),X,O,X,기타,https://map.naver.com/p/search/%EC%9D%B4%EC%82%AD%ED%86%A0%EC%8A%A4%ED%8A%B8%28%EA%B0%95%EB%8F%99%EC%84%B1%EC%8B%AC%EB%B3%91%EC%9B%90%EC%A0%90%29
